FULL_CODE,PAR_CODE,PAR_NAME,DUN_CODE,DUN_NAME,DM_CODE,DM_NAME,POPULATION
033/01/01,033,BESUT,01,KUALA BESUT,01,PULAU PERHENTIAN,769
033/01/02,033,BESUT,01,KUALA BESUT,02,SEBERANG BARAT,1812
033/01/03,033,BESUT,01,KUALA BESUT,03,NAIL,3498
033/01/04,033,BESUT,01,KUALA BESUT,04,SEBERANG BARAT LUAR,2118
033/01/05,033,BESUT,01,KUALA BESUT,05,TOK SABOH,2811
033/01/06,033,BESUT,01,KUALA BESUT,06,KAMPUNG NANGKA,1246
033/01/07,033,BESUT,01,KUALA BESUT,07,KAMPUNG BARU,3397
033/01/08,033,BESUT,01,KUALA BESUT,08,BUKIT PUTERI,2046
033/01/09,033,BESUT,01,KUALA BESUT,09,AIR TERJUN,873
033/02/01,033,BESUT,02,KOTA PUTERA,01,PEKAN SEBERANG KASTAM,2046
033/02/02,033,BESUT,02,KOTA PUTERA,02,PENGKALAN NYIREH,2840
033/02/03,033,BESUT,02,KOTA PUTERA,03,KAMPUNG RAJA UTARA,1062
033/02/04,033,BESUT,02,KOTA PUTERA,04,KAMPUNG RAJA SELATAN,2085
033/02/05,033,BESUT,02,KOTA PUTERA,05,KELUANG,1392
033/02/06,033,BESUT,02,KOTA PUTERA,06,BATU TUMBUH,1301
033/02/07,033,BESUT,02,KOTA PUTERA,07,AMIR,1974
033/02/08,033,BESUT,02,KOTA PUTERA,08,GONG BAYUR,2350
033/02/09,033,BESUT,02,KOTA PUTERA,09,TEMBILA,1586
033/02/10,033,BESUT,02,KOTA PUTERA,10,BETING LINTANG,1270
033/02/11,033,BESUT,02,KOTA PUTERA,11,ALUR LINTANG,2016
033/02/12,033,BESUT,02,KOTA PUTERA,12,GELAM MAS,1046
033/03/01,033,BESUT,03,JERTIH,01,KUBANG BEMBAN,1932
033/03/02,033,BESUT,03,JERTIH,02,ALUR LINTAH,1496
033/03/03,033,BESUT,03,JERTIH,03,TOK RAJA,951
033/03/04,033,BESUT,03,JERTIH,04,BUKIT KENAK,2601
033/03/05,033,BESUT,03,JERTIH,05,GONG NERING,1349
033/03/06,033,BESUT,03,JERTIH,06,SIMPANG TIGA JERTIH,1375
033/03/07,033,BESUT,03,JERTIH,07,BANDAR JERTIH,1784
033/03/08,033,BESUT,03,JERTIH,08,SEBERANG JERTIH,1334
033/03/09,033,BESUT,03,JERTIH,09,PADANG LUAS,2113
033/03/10,033,BESUT,03,JERTIH,10,PADANG LANDAK,2844
033/03/11,033,BESUT,03,JERTIH,11,NYIUR TUJUH,809
033/03/12,033,BESUT,03,JERTIH,12,GONG GUCIL,567
033/03/13,033,BESUT,03,JERTIH,13,PELAGAT,868
033/03/14,033,BESUT,03,JERTIH,14,KAYU KELAT,795
033/04/01,033,BESUT,04,HULU BESUT,01,CERANG MELILING,1924
033/04/02,033,BESUT,04,HULU BESUT,02,LUBUK KAWAH,1022
033/04/03,033,BESUT,04,HULU BESUT,03,ALUR KELADI,1776
033/04/04,033,BESUT,04,HULU BESUT,04,DARAU,1721
033/04/05,033,BESUT,04,HULU BESUT,05,PASIR AKAR,1684
033/04/06,033,BESUT,04,HULU BESUT,06,PADANG BUAL,1183
033/04/07,033,BESUT,04,HULU BESUT,07,BUKIT PAYUNG,1754
033/04/08,033,BESUT,04,HULU BESUT,08,FELDA TENANG,1798
033/04/09,033,BESUT,04,HULU BESUT,09,KAMPUNG LA,1505
033/04/10,033,BESUT,04,HULU BESUT,10,HULU BESUT,1726
034/05/01,034,SETIU,05,JABI,01,KUALA KUBANG,1904
034/05/02,034,SETIU,05,JABI,02,APAL,2356
034/05/03,034,SETIU,05,JABI,03,TANAH MERAH,2515
034/05/04,034,SETIU,05,JABI,04,KERANDANG,1709
034/05/05,034,SETIU,05,JABI,05,JABI,1419
034/05/06,034,SETIU,05,JABI,06,RENEK,1501
034/05/07,034,SETIU,05,JABI,07,TEMPINIS,2161
034/05/08,034,SETIU,05,JABI,08,BUKIT JERUK,1318
034/05/09,034,SETIU,05,JABI,09,TOK DOR,2937
034/05/10,034,SETIU,05,JABI,10,GONG BATU,850
034/06/01,034,SETIU,06,PERMAISURI,01,BINTANG,2068
034/06/02,034,SETIU,06,PERMAISURI,02,FIKRI,899
034/06/03,034,SETIU,06,PERMAISURI,03,MANGKUK,593
034/06/04,034,SETIU,06,PERMAISURI,04,GUNTUNG DALAM,1257
034/06/05,034,SETIU,06,PERMAISURI,05,GUNTUNG LUAR,1685
034/06/06,034,SETIU,06,PERMAISURI,06,KAMPUNG BESUT,1323
034/06/07,034,SETIU,06,PERMAISURI,07,PERMAISURI,2517
034/06/08,034,SETIU,06,PERMAISURI,08,PUTERA JAYA,1471
034/06/09,034,SETIU,06,PERMAISURI,09,BANGGUL,1775
034/06/10,034,SETIU,06,PERMAISURI,10,PENARIK,1034
034/06/11,034,SETIU,06,PERMAISURI,11,BARI,1019
034/06/12,034,SETIU,06,PERMAISURI,12,TELAGA PAPAN,926
034/06/13,034,SETIU,06,PERMAISURI,13,RHU SEPULUH,1103
034/06/14,034,SETIU,06,PERMAISURI,14,SAUJANA,1292
034/07/01,034,SETIU,07,LANGKAP,01,KAMPUNG RAHMAT,2170
034/07/02,034,SETIU,07,LANGKAP,02,GONG TERAP,1899
034/07/03,034,SETIU,07,LANGKAP,03,BUKIT PUTERA,608
034/07/04,034,SETIU,07,LANGKAP,04,CHALOK BARAT,2524
034/07/05,034,SETIU,07,LANGKAP,05,LANGKAP,1825
034/07/06,034,SETIU,07,LANGKAP,06,PENGKALAN MERBAU,989
034/07/07,034,SETIU,07,LANGKAP,07,SUNGAI BARI,633
034/07/08,034,SETIU,07,LANGKAP,08,JELAPANG,856
034/07/09,034,SETIU,07,LANGKAP,09,SUNGAI TONG,1714
034/07/10,034,SETIU,07,LANGKAP,10,PELUNG,745
034/07/11,034,SETIU,07,LANGKAP,11,KAMPUNG BUKIT,1115
034/07/12,034,SETIU,07,LANGKAP,12,BUKIT MUNDUK,858
034/07/13,034,SETIU,07,LANGKAP,13,CHALOK KEDAI,1032
034/08/01,034,SETIU,08,BATU RAKIT,01,MERANG,1729
034/08/02,034,SETIU,08,BATU RAKIT,02,PULAU REDANG,797
034/08/03,034,SETIU,08,BATU RAKIT,03,MENGABANG LEKAR,1981
034/08/04,034,SETIU,08,BATU RAKIT,04,DARAT BATU RAKIT,2184
034/08/05,034,SETIU,08,BATU RAKIT,05,BATU RAKIT,3164
034/08/06,034,SETIU,08,BATU RAKIT,06,MARAS,1604
034/08/07,034,SETIU,08,BATU RAKIT,07,PADANG KEMUNTING,1512
034/08/08,034,SETIU,08,BATU RAKIT,08,MENGABANG TELIPUT,2830
034/08/09,034,SETIU,08,BATU RAKIT,09,MENGABANG TELUNG,2919
035/09/01,035,KUALA NERUS,09,TEPUH,01,BUKIT WAN,1588
035/09/02,035,KUALA NERUS,09,TEPUH,02,BUKIT CEMPAKA,1476
035/09/03,035,KUALA NERUS,09,TEPUH,03,FELDA BELARA,1122
035/09/04,035,KUALA NERUS,09,TEPUH,04,GEMURUH,1425
035/09/05,035,KUALA NERUS,09,TEPUH,05,BUKIT GUNTUNG,1759
035/09/06,035,KUALA NERUS,09,TEPUH,06,TEPUH,3220
035/09/07,035,KUALA NERUS,09,TEPUH,07,PADANG AIR,1824
035/09/08,035,KUALA NERUS,09,TEPUH,08,TOK JIRING,2732
035/09/09,035,KUALA NERUS,09,TEPUH,09,WAKAF TENGAH,1692
035/09/10,035,KUALA NERUS,09,TEPUH,10,PADANG NANAS,1820
035/09/11,035,KUALA NERUS,09,TEPUH,11,TAMAN PERUMAHAN GONG BADAK,1836
035/09/12,035,KUALA NERUS,09,TEPUH,12,LEREK,1769
035/09/13,035,KUALA NERUS,09,TEPUH,13,GONG DATUK,1661
035/09/14,035,KUALA NERUS,09,TEPUH,14,WAKAF TEMBESU,1151
035/10/01,035,KUALA NERUS,10,BULUH GADING,01,BUKIT PETITI,1214
035/10/02,035,KUALA NERUS,10,BULUH GADING,02,BANGGUL PERADUNG,2691
035/10/03,035,KUALA NERUS,10,BULUH GADING,03,KEBUR BESAR,1795
035/10/04,035,KUALA NERUS,10,BULUH GADING,04,KEBUR AIR,1426
035/10/05,035,KUALA NERUS,10,BULUH GADING,05,JERAM,2621
035/10/06,035,KUALA NERUS,10,BULUH GADING,06,PETAI BUBUS,3960
035/10/07,035,KUALA NERUS,10,BULUH GADING,07,TANJUNG BUNUT,668
035/10/08,035,KUALA NERUS,10,BULUH GADING,08,KESUM,1600
035/10/09,035,KUALA NERUS,10,BULUH GADING,09,BULUH GADING,1452
035/11/01,035,KUALA NERUS,11,SEBERANG TAKIR,01,TOK JEMBAL,2498
035/11/02,035,KUALA NERUS,11,SEBERANG TAKIR,02,BUKIT TOK BENG,1245
035/11/03,035,KUALA NERUS,11,SEBERANG TAKIR,03,KAMPUNG BATIN,2052
035/11/04,035,KUALA NERUS,11,SEBERANG TAKIR,04,KAMPUNG BARU SEBERANG TAKIR,2098
035/11/05,035,KUALA NERUS,11,SEBERANG TAKIR,05,SEBERANG TAKIR PANTAI,1969
035/11/06,035,KUALA NERUS,11,SEBERANG TAKIR,06,TELUK KETAPANG,1856
035/11/07,035,KUALA NERUS,11,SEBERANG TAKIR,07,TELAGA DAING,2135
035/11/08,035,KUALA NERUS,11,SEBERANG TAKIR,08,TELAGA BATIN,1645
035/11/09,035,KUALA NERUS,11,SEBERANG TAKIR,09,KUBANG BADAK,2168
035/12/01,035,KUALA NERUS,12,BUKIT TUNGGAL,01,BATU ENAM,3726
035/12/02,035,KUALA NERUS,12,BUKIT TUNGGAL,02,PAK KATAK,1278
035/12/03,035,KUALA NERUS,12,BUKIT TUNGGAL,03,BUKIT TUMBUH,1928
035/12/04,035,KUALA NERUS,12,BUKIT TUNGGAL,04,BUKIT TUNGGAL,3949
035/12/05,035,KUALA NERUS,12,BUKIT TUNGGAL,05,DUYUNG,2623
035/12/06,035,KUALA NERUS,12,BUKIT TUNGGAL,06,PULAU KETAM,997
035/12/07,035,KUALA NERUS,12,BUKIT TUNGGAL,07,GONG KIJANG,1276
036/13/01,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,01,PULAU RUSA,2147
036/13/02,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,02,PALUH,2347
036/13/03,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,03,LOSONG DATOK AMAR,1272
036/13/04,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,04,LOSONG PENGLIMA PERANG,1906
036/13/05,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,05,LOSONG HAJI MAT SHAFIE,1965
036/13/06,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,06,SEBERANG BARUH,1606
036/13/07,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,07,WAKAF BERUAS,1340
036/13/08,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,08,MERBAU PATAH,2956
036/13/09,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,09,DURIAN BURUNG,2928
036/13/10,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,10,SUNGAI RENGAS,2626
036/13/11,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,11,WAKAF MEMPELAM,2864
036/13/12,036,KUALA TERENGGANU,13,WAKAF MEMPELAM,12,KUALA BEKAH,1970
036/13/13,036,MARANG,13,WAKAF MEMPELAM,13,GELUGUR KEDAI,5747
036/14/01,036,KUALA TERENGGANU,14,BANDAR,01,TOK KU,2564
036/14/02,036,KUALA TERENGGANU,14,BANDAR,02,CABANG TIGA,1165
036/14/03,036,KUALA TERENGGANU,14,BANDAR,03,HILIRAN MASJID,1430
036/14/04,036,KUALA TERENGGANU,14,BANDAR,04,LOSONG MASJID,1945
036/14/05,036,KUALA TERENGGANU,14,BANDAR,05,PULAU KAMBING,3624
036/14/06,036,KUALA TERENGGANU,14,BANDAR,06,KAMPUNG CINA,2681
036/14/07,036,KUALA TERENGGANU,14,BANDAR,07,BANGGUL,2129
036/14/08,036,KUALA TERENGGANU,14,BANDAR,08,PAYA BUNGA,2401
036/14/09,036,KUALA TERENGGANU,14,BANDAR,09,TANJUNG,1964
036/15/01,036,KUALA TERENGGANU,15,LADANG,01,LADANG,3169
036/15/02,036,KUALA TERENGGANU,15,LADANG,02,TEKUKUR,2386
036/15/03,036,KUALA TERENGGANU,15,LADANG,03,BATAS BARU,3009
036/15/04,036,KUALA TERENGGANU,15,LADANG,04,GONG KAPAS,2388
036/15/05,036,KUALA TERENGGANU,15,LADANG,05,PASIR PANJANG,4030
036/15/06,036,KUALA TERENGGANU,15,LADANG,06,BUKIT BAYAS,1452
036/15/07,036,KUALA TERENGGANU,15,LADANG,07,BUKIT BESAR,2019
036/15/08,036,KUALA TERENGGANU,15,LADANG,08,GONG GEMIA,1730
036/16/01,036,KUALA TERENGGANU,16,BATU BURUK,01,PANTAI BATU BURUK,1094
036/16/02,036,KUALA TERENGGANU,16,BATU BURUK,02,NIBUNG,2492
036/16/03,036,KUALA TERENGGANU,16,BATU BURUK,03,GONG TOK NASEK,3802
036/16/04,036,KUALA TERENGGANU,16,BATU BURUK,04,BUKIT DEPU,2751
036/16/05,036,KUALA TERENGGANU,16,BATU BURUK,05,KUALA IBAI,2381
036/16/06,036,KUALA TERENGGANU,16,BATU BURUK,06,CHENDERING PANTAI,3740
036/16/07,036,KUALA TERENGGANU,16,BATU BURUK,07,CHENDERING,2414
036/16/08,036,KUALA TERENGGANU,16,BATU BURUK,08,TAMAN PERMINT JAYA,2360
036/16/09,036,KUALA TERENGGANU,16,BATU BURUK,09,MENGABANG TENGAH,2194
036/16/10,036,KUALA TERENGGANU,16,BATU BURUK,10,KOLAM,1142
036/16/11,036,KUALA TERENGGANU,16,BATU BURUK,11,KENANGA,3116
036/16/12,036,KUALA TERENGGANU,16,BATU BURUK,12,TOK ADIS,2629
037/17/01,037,MARANG,17,ALUR LIMBAT,01,PULAU MANIS,1359
037/17/02,037,MARANG,17,ALUR LIMBAT,02,RAWAI,2279
037/17/03,037,MARANG,17,ALUR LIMBAT,03,TASIK,4016
037/17/04,037,MARANG,17,ALUR LIMBAT,04,BANGGUL TOK KU,2571
037/17/05,037,MARANG,17,ALUR LIMBAT,05,BELADAU SELAT,1797
037/17/06,037,MARANG,17,ALUR LIMBAT,06,KEPUNG,1555
037/17/07,037,MARANG,17,ALUR LIMBAT,07,PADANG MIDIN,3445
